rank,config_id,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,eligible_topics,converged_topics,macro_precision,macro_recall,macro_f1,macro_hit_at_1,macro_hit_at_3,macro_hit_at_5,mean_density,mean_isolated_ratio,mean_average_degree,mean_connected_components,mean_redundancy,max_redundancy,mean_word_count,mean_budget_utilization,mean_pagerank_iterations,mean_runtime_seconds
15,t=0.02|d=0.85|tol=1e-06|iter=1000|words=100|mmr=0.70,0.02,0.85,1e-06,1000,100,True,0.7,34,50,0.1516106442577031,0.05578787738799577,0.08025496634807919,0.2647058823529412,0.47058823529411764,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08415083721676547,1.0,99.82,0.9982,26.26,0.08281105257999968
16,t=0.02|d=0.90|tol=1e-06|iter=100|words=100|mmr=0.70,0.02,0.9,1e-06,100,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08194595649914498,1.0,99.84,0.9984000000000001,33.0,0.09015638008000053
17,t=0.02|d=0.90|tol=1e-06|iter=300|words=100|mmr=0.70,0.02,0.9,1e-06,300,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08194595649914498,1.0,99.84,0.9984000000000001,33.0,0.0908804975399994
18,t=0.02|d=0.90|tol=1e-06|iter=1000|words=100|mmr=0.70,0.02,0.9,1e-06,1000,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08194595649914498,1.0,99.84,0.9984000000000001,33.0,0.09264800417999965
19,t=0.02|d=0.90|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.9,1e-08,1000,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08194595649914498,1.0,99.84,0.9984000000000001,50.02,0.114510649139998
20,t=0.02|d=0.90|tol=1e-08|iter=300|words=100|mmr=0.70,0.02,0.9,1e-08,300,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08194595649914498,1.0,99.84,0.9984000000000001,50.02,0.11528101830000423
21,t=0.02|d=0.90|tol=1e-04|iter=300|words=100|mmr=0.70,0.02,0.9,0.0001,300,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08217401399340954,1.0,99.84,0.9984000000000001,16.5,0.06761390337999927
22,t=0.02|d=0.90|tol=1e-04|iter=1000|words=100|mmr=0.70,0.02,0.9,0.0001,1000,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08217401399340954,1.0,99.84,0.9984000000000001,16.5,0.06850409835999897
23,t=0.02|d=0.90|tol=1e-04|iter=100|words=100|mmr=0.70,0.02,0.9,0.0001,100,100,True,0.7,34,50,0.14919467787114846,0.05578787738799577,0.07954370144996308,0.29411764705882354,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08217401399340954,1.0,99.84,0.9984000000000001,16.5,0.06908107836000027
24,t=0.02|d=0.95|tol=1e-06|iter=1000|words=100|mmr=0.70,0.02,0.95,1e-06,1000,100,True,0.7,34,50,0.14700152788388082,0.05546108000237485,0.07866622520231589,0.29411764705882354,0.5,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08351224429030868,1.0,99.86,0.9986,46.36,0.11185362748000045
25,t=0.02|d=0.95|tol=1e-06|iter=300|words=100|mmr=0.70,0.02,0.95,1e-06,300,100,True,0.7,34,50,0.14700152788388082,0.05546108000237485,0.07866622520231589,0.29411764705882354,0.5,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08351224429030868,1.0,99.86,0.9986,46.36,0.11340013081999928
26,t=0.02|d=0.80|tol=1e-08|iter=100|words=100|mmr=0.70,0.02,0.8,1e-08,100,100,True,0.7,34,50,0.14670868347338936,0.05431728915270165,0.0780740237956196,0.29411764705882354,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.0867849889637543,1.0,99.84,0.9984000000000001,32.98,0.09077247921999955
27,t=0.02|d=0.80|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.8,1e-08,1000,100,True,0.7,34,50,0.14670868347338936,0.05431728915270165,0.0780740237956196,0.29411764705882354,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.0867849889637543,1.0,99.84,0.9984000000000001,32.98,0.09208543505999942
28,t=0.02|d=0.80|tol=1e-08|iter=300|words=100|mmr=0.70,0.02,0.8,1e-08,300,100,True,0.7,34,50,0.14670868347338936,0.05431728915270165,0.0780740237956196,0.29411764705882354,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.0867849889637543,1.0,99.84,0.9984000000000001,32.98,0.09574979173999922
